id,name,type,category,prediction,runner_status,input_columns,effective_pattern_after_runner_normalization,subcategory,category
rule_a9e339b4c26e2eae,opt_outs_ml.emoji_only_non_stop,deterministic_detector,auto_message,0,runnable regex,CUSTOMER_MESSAGE,^call me asap$,auto_reply,close
rule_451c36fb9b91ee65,opt_outs_ml.hot_topic_not_opt_out,deterministic_detector,auto_message,0,runnable regex,CUSTOMER_MESSAGE,^can i call you later$,auto_reply,close
rule_39802d76d8b46842,opt_outs_ml.hot_topic_opt_out,deterministic_detector,auto_message,0,runnable regex,CUSTOMER_MESSAGE,^how much is it$,auto_reply,close
rule_d1c382f5b6e65b4f,autoQAMessages.journey.hot_topic_journey,deterministic_detector,auto_message,0,runnable regex,CUSTOMER_MESSAGE,^how much$,auto_reply,close
rule_ec094007bcf5f1d2,autoQAMessages.journey.hot_topic_journey,deterministic_detector,auto_message,0,runnable regex,CUSTOMER_MESSAGE,^price$,auto_reply,close
rule_c9ca2d6f940b3f72,zapOptOuts.deterministic.hot_topic_not_opt_out,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,au volant sent from my car,driving_auto_reply,close
rule_aac8946d7283e42a,zapOptOuts.deterministic_js.single_letter_only,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,auto generated text i ll call you later,driving_auto_reply,close
rule_5e79496916045ff5,zapOptOuts.deterministic_js.number_only,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,auto message your message cannot be sent because the file format is currently not supported,driving_auto_reply,close
rule_06d01f1a0e0b3885,zapOptOuts.classifier.is_link,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,driving,driving_auto_reply,close
rule_bc586b9c3e3fbebb,zapOptOuts.deterministic_js.hot_topic_not_opt_out,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,driving can t text,driving_auto_reply,close
rule_cba10b842dd3c62c,zapOptOuts.deterministic.single_letter_only,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,driving can t text sent from car,driving_auto_reply,close
rule_124fec4e056055f0,zapOptOuts.deterministic.number_only,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,driving can t text sent from jill,driving_auto_reply,close
rule_5e0adbf105aa36ad,zapOptOuts.classifier.is_auto_driving,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,driving can t text sent from mitsubishi motors,driving_auto_reply,close
rule_fb87c5eff02a0a39,keywordHighlighter.not_opt_out_whole_message_gate,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,driving can t text sent from my altima,driving_auto_reply,close
rule_9be2c6ed14eae39f,opt_outs_ml.number_only,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,driving can t text sent from my car,driving_auto_reply,close
rule_b9286fab74651c14,zapOptOuts.deterministic.hot_topic_opt_out,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,driving can t text sent from my frontier,driving_auto_reply,close
rule_266901b48b11b9b5,zapOptOuts.deterministic.stop_emoji_only,deterministic_detector,auto_reply,0,runnable literal_phrase,CUSTOMER_MESSAGE,driving can t text sent from my kicks,driving_auto_reply,close
