"rule_id","rule_name","pattern_it_recognizes"
"rule_451c36fb9b91ee65","opt_outs_ml.hot_topic_not_opt_out","BRAND_MESSAGE=/^hot topic\b[\s\S]*\b1\s+same\b[\s\S]*\b2\s+weekly\b[\s\S]*\b3\s+monthly\b[\s\S]*\b4\s+never\b/i AND CUSTOMER_MESSAGE=/^(?!.*\b(?:4|four|never)\b).+$/i"
"rule_39802d76d8b46842","opt_outs_ml.hot_topic_opt_out","BRAND_MESSAGE=/^hot topic\b[\s\S]*\b1\s+same\b[\s\S]*\b2\s+weekly\b[\s\S]*\b3\s+monthly\b[\s\S]*\b4\s+never\b/i AND CUSTOMER_MESSAGE=/\b(?:4|four|never)\b/i"
"rule_combined_single_letter_only","combined.single_letter_only","/^[A-Za-z]$/g"
"rule_combined_number_only","combined.number_only","/^\d+$/g"
"rule_combined_reaction_reply","combined.reaction_reply","/^(?:reacted to .+|(?:liked|loved|emphasized|disliked|questioned) .+|laughed at .+|removed (?:a |from ).+)[\s.!?]*$/gi"
"rule_b25458937a65a761","autoQAMessages.under_13_age_threshold","/\b(?:(?:i\s*(?:am|'m)|im)\s*)?(?:[0-9]|1[0-2]|one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve)\s*(?:years?\s*old|yrs?\s*old|yo|y\\/o)\b|\b(?:i\s*(?:am|'m)|im)\s*(?:[0-9]|1[0-2]|one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve)\b|\b(?:grade\s*[1-6]|[1-6](?:st|nd|rd|th)\s*grade)\b/gi"
"rule_7f5dea328a22ec3b","autoQAMessages.json_array.non_opt_out.auto_reply.003.auto_generated_text_i_ll_call_you_later","/\bauto[\W_]+generated[\W_]+text[\W_]+i[\W_]*ll[\W_]+call[\W_]+you[\W_]+later\b/gi"
"rule_353dc8a1dffaf9f8","autoQAMessages.json_array.non_opt_out.auto_reply.004.auto_message_your_message_cannot_be_sent_because_the_file_format_is_cu","/\bauto[\W_]+message[\W_]+your[\W_]+message[\W_]+cannot[\W_]+be[\W_]+sent[\W_]+because[\W_]+the[\W_]+file[\W_]+format[\W_]+is[\W_]+currently[\W_]+not[\W_]+supported\b/gi"
"rule_combined_unavailable_auto_reply","combined.unavailable_auto_reply","/^(?:hey,?\s+i(?:'|\?|’)?m currently unavailable,?\s+i(?:'|\?|’)?ll get back to you as soon as i can|i(?:'|\?|’)?m not receiving notifications if this is urgent reply urgent to send a notification through with your original message|sorry,?\s+i\s+can(?:'|\?|’)?t talk (?:right )?now|sorry,?\s+can(?:'|\?|’)?t talk (?:right )?now|thank you for contacting me,?\s+i(?:'|\?|’)?m unable to chat right now but i(?:'|\?|’)?ll reply to your text as soon as i can,?\s+thanks|thanks for reaching out,?\s+i can(?:'|\?|’)?t chat(?: at the moment| now) but i(?:'|\?|’)?ll text you back as soon as i can(?:,?\s+thanks(?: child of christ| sent from text free)?)?|thanks for reaching out text me and if you have ig please message me let mee feed you set all notifications)[\s.!?]*$/gi"
"rule_5a95f1e7574cd603","optOutClassifier.json.patterns.25","/\bblock\w*\b/gi"
"rule_fed4cc7912c2263a","optOutClassifier.json.patterns.7","/\bspam\b/gi"
"rule_3a9dc0981448dafb","optOutClassifier.json.patterns.0","/\bremove[\W_]+me\b/gi"
"rule_combined_device_not_working","combined.device_not_working","/^(?:this is an automatic message this is a kosher talk only device and does not accept text messages please call instead|this number does(?:n'?t| not) support text please call instead|this phone(?: number)? can(?:not|'?t) receive text messages please call instead|this phone does not accept text messages please call instead(?: this is an automatic reply)?)[\s.!?]*$/gi"
"rule_ca0e0ef41f8c2d63","autoQAMessages.json_array.direct_opt_out.device_not_working.006.this_phone_number_is_no_longer_in_service","/\bthis[\W_]+phone[\W_]+number[\W_]+is[\W_]+no[\W_]+longer[\W_]+in[\W_]+service\b/gi"
"rule_8c5cba2f8f1724e9","autoQAMessages.json_array.opt_out_offensive.002.fuck_off","/\bfuck[\W_]+off\b/gi"
"rule_b6ca67714384c052","autoQAMessages.json_array.opt_out_offensive.003.fuck_u","/\bfuck[\W_]+u\b/gi"
"rule_039e25269b280d8a","autoQAMessages.json_array.opt_out_offensive.004.fuck_yall","/\bfuck[\W_]+yall\b/gi"
"rule_5496cf283174a76a","autoQAMessages.json_array.opt_out_offensive.005.fuck_you","/\bfuck[\W_]+you\b/gi"
