"number","group_path","name","tag","pattern","flags","source"
"1","classifier.raw_hard_rules","stop_emoji","opt_out","[ðŸ›‘âœ‹ðŸ™…ðŸš«ðŸ”•]","","optout_classifier/classifier.py"
"2","classifier.specific_request_rules","cancel_subscription","not_opt_out","\bcancel (?:my )?(?:subscription|sub|plan)\b","","optout_classifier/classifier.py"
"3","classifier.specific_request_rules","cancel_order","not_opt_out","\bcancel (?:my )?order\b","","optout_classifier/classifier.py"
"4","classifier.specific_request_rules","order_status","not_opt_out","\b(?:where(?: is|'s)? my order|order status|track(?:ing)?(?: my)? order)\b","","optout_classifier/classifier.py"
"5","classifier.specific_request_rules","refund_request","not_opt_out","\brefund\b|\breturn\b|\bexchange\b","","optout_classifier/classifier.py"
"6","classifier.specific_request_rules","shipping_request","not_opt_out","\bshipping\b|\bshipment\b|\bdelivery\b","","optout_classifier/classifier.py"
"7","classifier.specific_request_rules","account_request","not_opt_out","\b(?:update|change|reset|fix|review) (?:my )?(?:account|login|password|email|address)\b","","optout_classifier/classifier.py"
"8","classifier.specific_request_rules","billing_request","not_opt_out","\bbilling\b|\binvoice\b|\bpayment\b","","optout_classifier/classifier.py"
"9","classifier.specific_request_rules","product_request","not_opt_out","\b(?:size|inventory|availability|color|colour)\b","","optout_classifier/classifier.py"
"10","classifier.hard_rules","keyword_done","opt_out","^done$","","optout_classifier/classifier.py"
"11","classifier.hard_rules","keyword_shut_up","opt_out","(?:shut\s+(?:the\s+fuck\s+)?up|shut\s+yourself|\b(?:stfu|stdu|gtfo)\b)","","optout_classifier/classifier.py"
"12","classifier.hard_rules","opt_out","opt_out","\bopt out\b","","optout_classifier/classifier.py"
"13","classifier.hard_rules","unsubscribe","opt_out","\bunsubscribe\b","","optout_classifier/classifier.py"
"14","classifier.hard_rules","do_not_contact","opt_out","\b(?:do not|dont)\s+(?:contact|text|message|email|call)\b","","optout_classifier/classifier.py"
"15","classifier.hard_rules","stop_contacting","opt_out","\bstop\s+(?:texting|text|messaging|message|emailing|email|calling|contacting|calling)\b","","optout_classifier/classifier.py"
"16","classifier.hard_rules","remove_me_from_comms","opt_out","\bremove me from (?:texts?|text messages?|messages?|emails?|calls?|contact|(?:the |your |this )?list)\b","","optout_classifier/classifier.py"
"17","classifier.hard_rules","take_me_off_list","opt_out","\btake me off (?:the )?(?:list|your list|this list)\b","","optout_classifier/classifier.py"
"18","classifier.hard_rules","leave_me_alone","opt_out","\bleave me(?: the fuck)? alone\b","","optout_classifier/classifier.py"
"19","classifier.hard_rules","go_away","opt_out","\bgo away\b","","optout_classifier/classifier.py"
"20","classifier.hard_rules","wrong_number","opt_out","\bwrong (?:number|person)\b|\b(?:this is not|not) my number\b|\byou have the wrong number\b","","optout_classifier/classifier.py"
"21","classifier.hard_rules","number_no_longer_in_service","opt_out","\bthis phone(?: number)? is no longer in service\b","","optout_classifier/classifier.py"
"22","classifier.hard_rules","not_accepting_messages","opt_out","\bnot accepting (?:messages|texts?|emails?)\b","","optout_classifier/classifier.py"
"23","classifier.hard_rules","cannot_receive_messages","opt_out","\b(?:cannot|cant|can not|can't)\s+receive (?:messages?|texts?|emails?|calls?)\b","","optout_classifier/classifier.py"
"24","classifier.hard_rules","do_not_call","opt_out","\bdo ?not call(?: list)?\b","","optout_classifier/classifier.py"
"25","classifier.hard_rules","exact_dnc","opt_out","^dnc$","","optout_classifier/classifier.py"
"26","classifier.hard_rules","exact_stop","opt_out","^stop$","","optout_classifier/classifier.py"
"27","classifier.hard_rules","exact_quit","opt_out","^quit$","","optout_classifier/classifier.py"
"28","classifier.hard_rules","exact_end","opt_out","^end$","","optout_classifier/classifier.py"
"29","classifier.hard_rules","exact_remove","opt_out","^remove$","","optout_classifier/classifier.py"
"30","classifier.hard_rules","exact_quiet","opt_out","^quiet$","","optout_classifier/classifier.py"
"31","classifier.hard_rules","exact_unsubscribe","opt_out","^unsubscribe$","","optout_classifier/classifier.py"
